,,,,,,,,+/- Per 100 Poss.,+/- Per 100 Poss.,,Turnovers,Turnovers,,Fouls Committed,Fouls Committed,,Fouls Drawn,Fouls Drawn,,Misc.,Misc.,Misc.
Player,Team,Pos,G,MP,G,MP,,OnCourt,On-Off,,BadPass,LostBall,,Shoot,Off.,,Shoot,Off.,,PGA,And1,Blkd
Sonia Citron,WAS,G,44,1415,44,1415,,-3.8,7.1,,49,26,,43,2,,49,21,,239,17,27
Stefanie Dolson,WAS,C,43,653,43,653,,-4.4,1.2,,14,3,,45,11,,9,4,,137,2,5
Emily Engstler,WAS,F,40,512,40,512,,-5.7,-0.8,,23,5,,33,6,,11,1,,130,2,3
Kiki Iriafen,WAS,F,44,1185,44,1185,,-2.9,6.9,,28,27,,52,24,,86,0,,160,20,36
Jade Melbourne,WAS,G,43,1008,43,1008,,-8.5,-7.9,,47,15,,37,3,,32,20,,279,7,12
Lucy Olsen,WAS,G,41,508,41,508,,-10.9,-8.1,,9,7,,22,3,,8,3,,107,2,6
Madison Scott,WAS,G-F,9,47,9,47,,-1.5,3.8,,1,0,,2,0,,2,0,,5,0,2
Sug Sutton,WAS,G,43,1122,43,1122,,-2.0,8.6,,53,21,,20,2,,18,9,,370,3,10
Grace Berger,TOT,G,19,418,19,418,,-16.1,-11.8,,16,3,,16,2,,8,2,,138,3,8
Chloe Bibby,TOT,F,14,154,14,154,,4.4,1.5,,5,1,,7,1,,3,1,,15,0,2
DeWanna Bonner,TOT,G-F,33,778,33,778,,0.2,-4.6,,14,10,,37,1,,51,2,,88,6,18
DiJonai Carrington,TOT,G-F,31,680,31,680,,-7.6,-12.0,,42,13,,29,2,,40,13,,111,8,33
Kaila Charles,TOT,G-F,35,616,35,616,,4.3,9.2,,15,15,,24,2,,25,1,,79,4,17
Alysha Clark,TOT,F,42,828,42,828,,-10.3,-11.4,,9,3,,36,8,,8,12,,122,2,2
Marquesha Davis,TOT,G,11,52,11,52,,-15.3,-11.7,,2,2,,1,0,,4,1,,2,1,2
Aaliyah Edwards,TOT,F,36,534,36,534,,-10.2,-1.3,,11,15,,24,9,,36,7,,48,7,16
Bree Hall,TOT,G,4,17,4,17,,31.3,28.4,,0,2,,3,0,,1,0,,0,0,1
Haley Jones,TOT,F-G,28,594,28,594,,-9.3,-8.4,,25,11,,45,8,,21,0,,142,9,19
Liatu King,TOT,F,14,136,14,136,,-4.3,1.4,,5,3,,6,1,,7,2,,11,1,4
Sika Koné,TOT,F,19,85,19,85,,-6.7,-9.2,,1,3,,5,0,,3,0,,15,1,5
Diamond Miller,TOT,F,40,434,40,434,,-12.2,-16.2,,8,15,,28,6,,22,2,,70,2,11
Tiffany Mitchell,TOT,G,39,510,39,510,,-3.3,-7.3,,8,5,,22,5,,26,9,,34,6,7
Shey Peddy,TOT,G,15,265,15,265,,-2.2,-2.8,,10,0,,12,0,,8,3,,74,3,3
Alissa Pili,TOT,F,19,99,19,99,,8.6,4.3,,4,2,,7,2,,7,0,,7,1,3
Aerial Powers,TOT,G,10,167,10,167,,14.4,12.0,,7,2,,12,1,,14,1,,45,5,6
Jacy Sheldon,TOT,G,30,708,30,708,,-18.5,-11.9,,24,3,,34,1,,10,7,,129,4,9
Jaylyn Sherrod,TOT,G,26,142,26,142,,-7.4,-16.8,,7,2,,7,1,,8,4,,28,3,5
Odyssey Sims,TOT,G,24,671,24,671,,1.6,1.5,,20,8,,19,4,,45,16,,206,8,17
NaLyssa Smith,TOT,F,45,956,45,956,,2.6,6.6,,16,16,,90,21,,57,8,,79,6,23
Brittney Sykes,TOT,G,39,1194,39,1194,,0.6,3.1,,66,19,,35,7,,92,25,,348,21,28
Stephanie Talbot,TOT,F,38,541,38,541,,-3.4,-8.2,,29,5,,25,2,,11,2,,155,3,6
Sevgi Uzun,TOT,G,25,439,25,439,,-7.0,-2.7,,28,12,,14,0,,5,1,,146,0,7
Julie Vanloo,TOT,G,35,449,35,449,,-13.6,-14.8,,39,2,,15,3,,3,8,,161,1,2
Li Yueru,TOT,C,31,519,31,519,,-2.7,0.4,,12,8,,29,7,,21,0,,63,3,18
Jacy Sheldon,CON,G,28,676,28,676,,-18.9,-9.6,,23,3,,30,1,,8,7,,127,4,8
DiJonai Carrington,DAL,G-F,20,497,20,497,,-13.4,-7.3,,35,11,,17,2,,27,8,,83,7,28
Kaila Charles,DAL,G-F,17,269,17,269,,4.8,15.2,,6,5,,10,1,,14,1,,37,2,8
NaLyssa Smith,DAL,F,18,344,18,344,,-11.1,-3.6,,6,7,,26,4,,18,1,,30,4,12
Chloe Bibby,GSV,F,5,66,5,66,,15.8,14.5,,0,0,,2,0,,1,0,,7,0,1
Bree Hall,GSV,G,3,12,3,12,,39.1,37.5,,0,2,,1,0,,0,0,,0,0,0
Aerial Powers,GSV,G,2,7,2,7,,53.8,52.2,,0,0,,0,0,,1,0,,2,0,0
Stephanie Talbot,GSV,F,16,268,16,268,,4.4,3.1,,14,3,,14,1,,6,1,,76,1,4
Julie Vanloo,GSV,G,9,180,9,180,,-22.0,-26.7,,19,1,,7,1,,3,4,,84,1,2
DeWanna Bonner,IND,G-F,9,192,9,192,,-10.9,-16.8,,6,2,,6,0,,9,1,,31,0,5
Grace Berger,LAS,G,1,16,1,16,,-72.2,-69.8,,3,0,,1,0,,0,0,,2,0,1
Liatu King,LAS,F,12,120,12,120,,-0.3,3.0,,5,3,,4,1,,7,2,,11,1,3
Shey Peddy,LAS,G,6,138,6,138,,-7.0,-4.2,,4,0,,7,0,,3,1,,37,2,2
Odyssey Sims,LAS,G,12,354,12,354,,-0.3,3.6,,10,5,,11,1,,20,7,,97,6,7
Tiffany Mitchell,LVA,G,16,210,16,210,,-8.1,-13.5,,4,3,,7,4,,16,4,,20,3,1
Diamond Miller,MIN,F,25,243,25,243,,-1.0,-15.6,,4,9,,18,4,,15,2,,32,1,5
Alissa Pili,MIN,F,14,82,14,82,,7.9,-4.7,,3,2,,7,2,,1,0,,7,0,3
Marquesha Davis,NYL,G,9,31,9,31,,1.9,-3.4,,1,1,,1,0,,4,0,,2,1,0
Jaylyn Sherrod,NYL,G,18,104,18,104,,-17.0,-23.5,,6,2,,6,1,,6,3,,23,3,3
Haley Jones,PHO,F-G,4,48,4,48,,3.4,-0.2,,1,0,,3,1,,0,0,,9,0,1
Sevgi Uzun,PHO,G,7,102,7,102,,-5.4,-9.6,,7,3,,1,0,,2,0,,36,0,1
Alysha Clark,SEA,F,27,485,27,485,,-4.9,-9.7,,6,3,,23,6,,5,11,,69,1,0
Li Yueru,SEA,C,9,78,9,78,,1.6,-0.6,,0,1,,6,4,,4,0,,13,1,5
Aaliyah Edwards,WAS,F,21,279,21,279,,-9.1,-4.6,,6,8,,16,5,,25,5,,20,6,9
Sika Koné,WAS,F,11,74,11,74,,-6.8,-1.7,,1,3,,3,0,,3,0,,12,1,4
Brittney Sykes,WAS,G,25,774,25,774,,1.4,11.7,,45,14,,18,5,,63,15,,238,14,18
Grace Berger,DAL,G,18,402,18,402,,-13.5,-6.9,,13,3,,15,2,,8,2,,136,3,7
Aerial Powers,IND,G,8,160,8,160,,12.7,9.6,,7,2,,8,1,,9,1,,43,5,6
Bree Hall,IND,G,1,5,1,5,,11.1,7.1,,0,0,,1,0,,0,0,,0,0,1
Haley Jones,DAL,F-G,24,546,24,546,,-10.3,-3.1,,24,11,,42,7,,21,0,,133,9,18
Chloe Bibby,IND,F,9,88,9,88,,-3.5,-7.9,,5,1,,5,1,,2,1,,8,0,1
Shey Peddy,IND,G,9,127,9,127,,3.4,-0.7,,6,0,,1,0,,2,1,,37,1,1
Sevgi Uzun,CHI,G,18,337,18,337,,-7.6,6.6,,21,9,,13,0,,3,1,,110,0,6
Marquesha Davis,CHI,G,2,21,2,21,,-38.4,-25.8,,1,1,,0,0,,0,1,,0,0,2
Li Yueru,DAL,C,22,441,22,441,,-3.5,6.3,,12,7,,23,3,,17,0,,50,2,13
Julie Vanloo,LAS,G,26,269,26,269,,-7.9,-5.6,,20,1,,8,2,,0,4,,77,0,0
DeWanna Bonner,PHO,G-F,24,586,24,586,,3.9,0.4,,8,8,,15,0,,30,1,,57,6,13
Sika Koné,ATL,F,8,11,8,11,,-6.9,-16.6,,0,0,,2,0,,0,0,,3,0,1
Liatu King,DAL,F,2,16,2,16,,-32.4,-24.4,,0,0,,2,0,,0,0,,0,0,1
Odyssey Sims,IND,G,12,317,12,317,,3.8,-0.2,,10,3,,5,2,,7,6,,109,2,10
Alissa Pili,LAS,F,5,17,5,17,,12.5,15.8,,1,0,,0,0,,6,0,,0,1,0
