PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
579,Megan Gustafson,LVA,C,20,226,60,36,5,3,6,13,35.1,46.7,6,8,28,39,33.3,20,57,7,15
310,Tiffany Mitchell,LVA,G,16,210,59,29,7,6,3,4,39.0,79.3,14,6,23,13,30.8,16,41,23,29
853,Diamond Miller,DAL,F,15,191,58,30,16,4,3,3,33.8,53.8,14,7,23,25,12.0,24,71,7,13
906,Julie Vanloo,LAS,G,26,269,58,15,31,9,0,17,30.2,75.0,26,2,13,54,31.5,19,63,3,4
401,Stephanie Talbot,GSV,F,16,268,57,53,32,9,1,8,33.9,64.3,19,14,39,32,25.0,20,59,9,14
401,Stephanie Talbot,NYL,F,22,273,55,48,34,10,5,8,42.2,64.3,21,12,36,24,33.3,19,45,9,14
344,Karlie Samuelson,MIN,G,16,228,53,20,17,6,1,12,33.3,92.9,11,3,17,34,35.3,14,42,13,14
490,Lexie Brown,SEA,G,24,227,51,17,23,9,1,10,35.4,70.0,6,2,15,37,27.0,17,48,7,10
1021,Kaitlyn Chen,GSV,G,24,247,48,22,24,5,0,5,38.0,71.4,18,5,17,15,33.3,19,50,5,7
632,Shey Peddy,IND,G,9,127,47,7,15,4,0,11,54.8,66.7,9,1,6,22,50.0,17,31,2,3
751,Kiana Williams,PHO,G,11,107,45,11,10,3,0,9,42.5,50.0,6,0,11,26,34.6,17,40,2,4
376,Kiah Stokes,LVA,C,40,514,44,144,17,17,14,3,35.3,62.5,16,29,115,23,13.0,18,51,5,8
906,Julie Vanloo,GSV,G,9,180,41,17,37,6,0,8,29.2,83.3,23,2,15,38,21.1,14,48,5,6
1039,Murjanatu Musa,PHO,C,12,122,40,31,7,4,2,1,45.7,63.6,7,18,13,2,50.0,16,35,7,11
908,Jaelyn Brown,CON,G,10,131,37,12,1,5,2,8,37.8,50.0,5,4,8,18,44.4,14,37,1,2
1035,Mamignan Toure,CON,F,18,147,36,7,9,7,0,8,35.9,0.0,8,4,3,22,36.4,14,39,0,0
1018,Liatu King,LAS,F,12,120,36,25,4,2,0,1,50.0,73.3,11,10,15,6,16.7,12,24,11,15
