playerName,rim_fgm,rim_fga,paint_fgm,paint_fga,mid_fgm,mid_fga,corner3_fgm,corner3_fga,ab3_fgm,ab3_fga,three_fgm,three_fga,total_fgm,total_fga,rim_fg,paint_fg,mid_fg,corner3_fg,ab3_fg,three_fg,total_fg,rim_att_share,paint_att_share,mid_att_share,corner3_att_share,ab3_att_share,three_att_share,age,playerId,teamId,pos
Emma Cannon,14.0,16.0,3.0,6.0,1.0,5.0,4.0,7.0,10,29,14.0,36.0,32.0,63.0,0.875,0.5,0.2,0.5714285714285714,0.3448275862068966,0.3888888888888889,0.5079365079365079,0.25396825396825395,0.09523809523809523,0.07936507936507936,0.1111111111111111,0.4603174603174603,0.5714285714285714,36,player_emma_cannon,LAS,F
Emma Meesseman,29.0,40.0,32.0,55.0,16.0,43.0,2.0,3.0,12,18,14.0,21.0,91.0,159.0,0.725,0.5818181818181818,0.37209302325581395,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5723270440251572,0.25157232704402516,0.34591194968553457,0.27044025157232704,0.018867924528301886,0.11320754716981132,0.1320754716981132,32,player_emma_meesseman,NYL,F
Erica Wheeler,33.0,53.0,29.0,79.0,30.0,84.0,7.0,17.0,69,184,76.0,201.0,168.0,417.0,0.6226415094339622,0.3670886075949367,0.35714285714285715,0.4117647058823529,0.375,0.3781094527363184,0.4028776978417266,0.12709832134292565,0.18944844124700239,0.2014388489208633,0.0407673860911271,0.4412470023980815,0.48201438848920863,34,player_erica_wheeler,SEA,G
Ezi Magbegor,84.0,134.0,38.0,91.0,5.0,13.0,0.0,6.0,14,42,14.0,48.0,141.0,286.0,0.6268656716417911,0.4175824175824176,0.38461538461538464,0.0,0.3333333333333333,0.2916666666666667,0.493006993006993,0.46853146853146854,0.3181818181818182,0.045454545454545456,0.02097902097902098,0.14685314685314685,0.16783216783216784,26,player_ezi_magbegor,SEA,F-C
Gabby Williams,83.0,123.0,35.0,102.0,30.0,80.0,9.0,23.0,41,141,50.0,164.0,198.0,469.0,0.6747967479674797,0.3431372549019608,0.375,0.391304347826087,0.2907801418439716,0.3048780487804878,0.42217484008528783,0.2622601279317697,0.21748400852878466,0.17057569296375266,0.04904051172707889,0.3006396588486141,0.34968017057569295,29,player_gabby_williams,SEA,F
Grace Berger,12.0,23.0,11.0,30.0,1.0,13.0,1.0,4.0,1,18,2.0,22.0,26.0,88.0,0.5217391304347826,0.36666666666666664,0.07692307692307693,0.25,0.05555555555555555,0.09090909090909091,0.29545454545454547,0.26136363636363635,0.3409090909090909,0.14772727272727273,0.045454545454545456,0.20454545454545456,0.25,26,player_grace_berger,LAS,G
Hailey Van Lith,14.0,29.0,10.0,24.0,8.0,25.0,0.0,3.0,5,27,5.0,30.0,37.0,108.0,0.4827586206896552,0.4166666666666667,0.32,0.0,0.18518518518518517,0.16666666666666666,0.3425925925925926,0.26851851851851855,0.2222222222222222,0.23148148148148148,0.027777777777777776,0.25,0.2777777777777778,24,player_hailey_van_lith,CHI,G
Haley Jones,42.0,70.0,26.0,64.0,5.0,15.0,0.0,3.0,12,35,12.0,38.0,85.0,187.0,0.6,0.40625,0.3333333333333333,0.0,0.34285714285714286,0.3157894736842105,0.45454545454545453,0.37433155080213903,0.3422459893048128,0.08021390374331551,0.016042780748663103,0.18716577540106952,0.20320855614973263,24,player_haley_jones,PHO,F-G
Haley Peters,11.0,18.0,2.0,13.0,4.0,12.0,0.0,3.0,8,36,8.0,39.0,25.0,82.0,0.6111111111111112,0.15384615384615385,0.3333333333333333,0.0,0.2222222222222222,0.20512820512820512,0.3048780487804878,0.21951219512195122,0.15853658536585366,0.14634146341463414,0.036585365853658534,0.43902439024390244,0.47560975609756095,33,player_haley_peters,CON,F-G
Iliana Rupert,10.0,16.0,9.0,22.0,2.0,11.0,8.0,17.0,38,87,46.0,104.0,67.0,153.0,0.625,0.4090909090909091,0.18181818181818182,0.47058823529411764,0.4367816091954023,0.4423076923076923,0.43790849673202614,0.10457516339869281,0.1437908496732026,0.0718954248366013,0.1111111111111111,0.5686274509803921,0.6797385620915033,24,player_iliana_rupert,GSV,C
Isabelle Harrison,34.0,50.0,21.0,51.0,6.0,18.0,1.0,3.0,3,12,4.0,15.0,65.0,134.0,0.68,0.4117647058823529,0.3333333333333333,0.3333333333333333,0.25,0.26666666666666666,0.48507462686567165,0.373134328358209,0.3805970149253731,0.13432835820895522,0.022388059701492536,0.08955223880597014,0.11194029850746269,32,player_isabelle_harrison,NYL,F
JJ Quinerly,34.0,58.0,19.0,60.0,6.0,16.0,3.0,4.0,18,49,21.0,53.0,80.0,187.0,0.5862068965517241,0.31666666666666665,0.375,0.75,0.3673469387755102,0.39622641509433965,0.42780748663101603,0.31016042780748665,0.32085561497326204,0.0855614973262032,0.0213903743315508,0.2620320855614973,0.28342245989304815,23,player_jj_quinerly,DAL,G
Jackie Young,64.0,92.0,90.0,181.0,26.0,51.0,4.0,10.0,76,212,80.0,222.0,260.0,546.0,0.6956521739130435,0.4972375690607735,0.5098039215686274,0.4,0.3584905660377358,0.36036036036036034,0.47619047619047616,0.1684981684981685,0.3315018315018315,0.09340659340659341,0.018315018315018316,0.3882783882783883,0.4065934065934066,28,player_jackie_young,LVA,G
Jacy Sheldon,29.0,37.0,6.0,21.0,12.0,29.0,10.0,16.0,26,73,36.0,89.0,83.0,176.0,0.7837837837837838,0.2857142857142857,0.41379310344827586,0.625,0.3561643835616438,0.4044943820224719,0.4715909090909091,0.21022727272727273,0.11931818181818182,0.16477272727272727,0.09090909090909091,0.4147727272727273,0.5056818181818182,25,player_jacy_sheldon,WAS,G
Jade Melbourne,38.0,74.0,23.0,45.0,3.0,11.0,7.0,19.0,19,74,26.0,93.0,90.0,223.0,0.5135135135135135,0.5111111111111111,0.2727272727272727,0.3684210526315789,0.25675675675675674,0.27956989247311825,0.40358744394618834,0.33183856502242154,0.20179372197309417,0.04932735426008968,0.08520179372197309,0.33183856502242154,0.4170403587443946,23,player_jade_melbourne,WAS,G
Jaelyn Brown,2.0,4.0,0.0,3.0,4.0,12.0,2.0,4.0,6,14,8.0,18.0,14.0,37.0,0.5,0.0,0.3333333333333333,0.5,0.42857142857142855,0.4444444444444444,0.3783783783783784,0.10810810810810811,0.08108108108108109,0.32432432432432434,0.10810810810810811,0.3783783783783784,0.4864864864864865,27,player_jaelyn_brown,CON,G-F
Janelle Salaün,33.0,49.0,16.0,45.0,35.0,96.0,10.0,34.0,53,137,63.0,171.0,147.0,361.0,0.673469387755102,0.35555555555555557,0.3645833333333333,0.29411764705882354,0.38686131386861317,0.3684210526315789,0.407202216066482,0.13573407202216067,0.12465373961218837,0.2659279778393352,0.09418282548476455,0.37950138504155123,0.47368421052631576,24,player_janelle_sala_n,GSV,F
