season,playerId,playerName,teamId,pos,g,mp,onCourt_plusMinus_per100,onOff_plusMinus_per100,tov_badPass,tov_lostBall,tov_shoot,tov_offensiveFoulOrOther,foulsCommitted_shooting,foulsCommitted_offensive,misc_pga,misc_and1,misc_blkd,oldPlayerId,oldTeamId
2025,player_natasha_cloud,Natasha Cloud,NYL,G,41,1191,5.2,-0.2,64,3,53,5,34,5,493,7,8,bref_nyl_natasha_cloud,NYL
2025,player_natasha_howard,Natasha Howard,IND,F,44,1060,7.2,8.1,33,19,61,12,58,8,152,9,19,bref_ind_natasha_howard,IND
2025,player_natasha_mack,Natasha Mack,PHO,F-C,34,623,11.7,12.4,9,3,29,2,18,1,78,4,7,bref_pho_natasha_mack,PHO
2025,player_natisha_hiedeman,Natisha Hiedeman,MIN,G,44,833,12.4,0.0,38,13,37,1,28,9,298,5,16,bref_min_natisha_hiedeman,MIN
2025,player_naz_hillmon,Naz Hillmon,ATL,F,44,1122,14.5,13.3,30,7,30,7,28,3,255,3,14,bref_atl_naz_hillmon,ATL
2025,player_nia_coffey,Nia Coffey,ATL,F,44,455,7.5,-2.9,15,4,24,4,18,5,107,2,15,bref_atl_nia_coffey,ATL
2025,player_nneka_ogwumike,Nneka Ogwumike,SEA,F,44,1359,4.5,9.8,43,23,34,14,51,11,229,16,31,bref_sea_nneka_ogwumike,SEA
2025,player_nyara_sabally,Nyara Sabally,NYL,C,17,305,-0.7,-7.1,3,6,19,7,10,0,32,2,10,bref_nyl_nyara_sabally,NYL
2025,player_odyssey_sims,Odyssey Sims,LAS,G,24,671,1.6,1.5,20,8,19,4,45,16,206,8,17,bref_tot_odyssey_sims,TOT
2025,player_olivia_nelson_ododa,Olivia Nelson-Ododa,CON,C,37,800,-10.7,4.2,11,12,38,14,52,1,78,7,20,bref_con_olivia_nelson_ododa,CON
2025,player_paige_bueckers,Paige Bueckers,DAL,G,36,1199,-4.6,10.9,50,19,47,2,69,12,461,28,21,bref_dal_paige_bueckers,DAL
2025,player_rachel_banham,Rachel Banham,CHI,G,44,1081,-16.0,-7.8,53,12,43,3,16,6,268,0,10,bref_chi_rachel_banham,CHI
2025,player_rae_burrell,Rae Burrell,LAS,G-F,28,515,0.5,5.2,13,8,12,1,25,11,76,8,16,bref_las_rae_burrell,LAS
2025,player_rayah_marshall,Rayah Marshall,CON,C-F,15,90,1.2,15.0,4,2,8,0,7,0,9,4,2,bref_con_rayah_marshall,CON
2025,player_rebecca_allen,Rebecca Allen,CHI,F-G,44,821,-14.7,-3.2,23,10,42,0,11,1,130,1,6,bref_chi_rebecca_allen,CHI
2025,player_rebekah_gardner,Rebekah Gardner,NYL,G,41,502,4.8,-0.6,8,6,34,3,11,2,65,1,12,bref_nyl_rebekah_gardner,NYL
2025,player_rhyne_howard,Rhyne Howard,ATL,G,33,1151,9.8,0.6,34,15,49,3,53,13,357,12,11,bref_atl_rhyne_howard,ATL
2025,player_rickea_jackson,Rickea Jackson,LAS,F,38,1173,-4.5,-4.2,35,31,25,4,43,9,149,11,22,bref_las_rickea_jackson,LAS
2025,player_robyn_parks,Robyn Parks,CON,F,6,63,-4.1,9.2,0,0,5,1,0,0,4,0,0,bref_con_robyn_parks,CON
2025,player_sabrina_ionescu,Sabrina Ionescu,NYL,G,38,1194,6.3,3.6,66,20,36,4,69,12,494,18,29,bref_nyl_sabrina_ionescu,NYL
2025,player_sami_whitcomb,Sami Whitcomb,PHO,G,43,1027,4.9,3.2,46,14,48,4,15,7,246,4,13,bref_pho_sami_whitcomb,PHO
2025,player_sania_feagin,Sania Feagin,LAS,F,16,77,-21.6,-19.4,2,3,8,2,0,0,9,0,5,bref_las_sania_feagin,LAS
2025,player_saniya_rivers,Saniya Rivers,CON,G,42,1097,-13.0,0.1,48,8,37,2,24,11,253,7,14,bref_con_saniya_rivers,CON
2025,player_sarah_ashlee_barker,Sarah Ashlee Barker,LAS,G,34,481,-10.5,-10.1,26,10,19,0,9,5,71,0,6,bref_las_sarah_ashlee_barker,LAS
2025,player_satou_sabally,Satou Sabally,PHO,F,39,1039,6.6,7.5,39,15,45,13,76,6,240,19,31,bref_pho_satou_sabally,PHO
2025,player_serena_sundell,Serena Sundell,DAL,G,3,22,-43.2,-35.4,1,1,1,0,0,1,0,0,0,bref_dal_serena_sundell,DAL
2025,player_sevgi_uzun,Sevgi Uzun,PHO,G,25,439,-7.0,-2.7,28,12,14,0,5,1,146,0,7,bref_tot_sevgi_uzun,TOT
2025,player_shakira_austin,Shakira Austin,WAS,F-C,38,874,-7.0,-3.6,44,28,51,7,75,2,164,26,38,bref_was_shakira_austin,WAS
2025,player_shatori_walker_kimbrough,Shatori Walker-Kimbrough,ATL,G,41,354,1.9,-9.8,7,4,13,2,4,2,53,0,4,bref_atl_shatori_walker_kimbrough,ATL
2025,player_shey_peddy,Shey Peddy,LAS,G,15,265,-2.2,-2.8,10,0,12,0,8,3,74,3,3,bref_tot_shey_peddy,TOT
2025,player_sika_kon,Sika Koné,ATL,F,19,85,-6.7,-9.2,1,3,5,0,3,0,15,1,5,bref_tot_sika_kon,TOT
2025,player_skylar_diggins,Skylar Diggins,SEA,G,43,1343,5.8,15.3,58,18,36,5,85,16,593,17,34,bref_sea_skylar_diggins,SEA
2025,player_sonia_citron,Sonia Citron,WAS,G,44,1415,-3.8,7.1,49,26,43,2,49,21,239,17,27,bref_was_sonia_citron,WAS
2025,player_sophie_cunningham,Sophie Cunningham,IND,G,30,756,1.1,-5.2,9,9,20,9,14,7,83,3,10,bref_ind_sophie_cunningham,IND
2025,player_stefanie_dolson,Stefanie Dolson,WAS,C,43,653,-4.4,1.2,14,3,45,11,9,4,137,2,5,bref_was_stefanie_dolson,WAS
2025,player_stephanie_talbot,Stephanie Talbot,NYL,F,38,541,-3.4,-8.2,29,5,25,2,11,2,155,3,6,bref_tot_stephanie_talbot,TOT
2025,player_sug_sutton,Sug Sutton,WAS,G,43,1122,-2.0,8.6,53,21,20,2,18,9,370,3,10,bref_was_sug_sutton,WAS
2025,player_sydney_colson,Sydney Colson,IND,G,30,404,-2.4,-8.3,23,7,12,2,2,4,145,0,2,bref_ind_sydney_colson,IND
