playerId,playerName,games,minutes,foulsCommittedOffensive
player_sevgi_uzun,Sevgi Uzun,,,14.0
player_julie_vanloo,Julie Vanloo,,,15.0
player_li_yueru,Li Yueru,,,29.0
player_jacy_sheldon,Jacy Sheldon,,,30.0
player_dijonai_carrington,DiJonai Carrington,,497.0,2.0
player_kaila_charles,Kaila Charles,,269.0,1.0
player_nalyssa_smith,NaLyssa Smith,,,26.0
player_chloe_bibby,Chloe Bibby,,5.0,0.0
player_bree_hall,Bree Hall,,3.0,0.0
player_aerial_powers,Aerial Powers,,2.0,0.0
player_stephanie_talbot,Stephanie Talbot,,,14.0
player_julie_vanloo,Julie Vanloo,,9.0,19.0
player_dewanna_bonner,DeWanna Bonner,9.0,192.0,2.0
player_grace_berger,Grace Berger,,1.0,3.0
player_liatu_king,Liatu King,,,4.0
player_shey_peddy,Shey Peddy,,6.0,4.0
player_odyssey_sims,Odyssey Sims,,,11.0
player_tiffany_mitchell,Tiffany Mitchell,,,7.0
player_diamond_miller,Diamond Miller,,,18.0
player_alissa_pili,Alissa Pili,,,7.0
player_marquesha_davis,Marquesha Davis,,9.0,1.0
player_jaylyn_sherrod,Jaylyn Sherrod,,,6.0
player_haley_jones,Haley Jones,4.0,48.0,0.0
player_sevgi_uzun,Sevgi Uzun,,7.0,7.0
player_alysha_clark,Alysha Clark,,,23.0
player_li_yueru,Li Yueru,,9.0,0.0
player_aaliyah_edwards,Aaliyah Edwards,,,16.0
player_sika_kon,Sika Kone,,,3.0
player_brittney_sykes,Brittney Sykes,,,18.0
player_grace_berger,Grace Berger,,,15.0
player_aerial_powers,Aerial Powers,,8.0,7.0
player_bree_hall,Bree Hall,,1.0,0.0
player_haley_jones,Haley Jones,,546.0,7.0
player_chloe_bibby,Chloe Bibby,,9.0,5.0
player_shey_peddy,Shey Peddy,,9.0,6.0
player_sevgi_uzun,Sevgi Uzun,,,13.0
player_marquesha_davis,Marquesha Davis,,2.0,1.0
player_li_yueru,Li Yueru,,,23.0
player_julie_vanloo,Julie Vanloo,,,8.0
player_dewanna_bonner,DeWanna Bonner,,586.0,0.0
player_sika_kon,Sika Kone,,8.0,0.0
player_liatu_king,Liatu King,,2.0,0.0
player_odyssey_sims,Odyssey Sims,,,5.0
player_alissa_pili,Alissa Pili,,5.0,1.0
player_stephanie_talbot,Stephanie Talbot,,,11.0
player_tiffany_mitchell,Tiffany Mitchell,,,14.0
player_kaila_charles,Kaila Charles,,347.0,1.0
player_nalyssa_smith,NaLyssa Smith,,,43.0
player_jaylyn_sherrod,Jaylyn Sherrod,,8.0,1.0
player_dijonai_carrington,DiJonai Carrington,,183.0,0.0
player_aaliyah_edwards,Aaliyah Edwards,,,8.0
player_diamond_miller,Diamond Miller,,,10.0
player_brittney_sykes,Brittney Sykes,,,14.0
player_alysha_clark,Alysha Clark,,,13.0
player_jacy_sheldon,Jacy Sheldon,,2.0,1.0
,</PRE>,,,
